1530,680,255,70
1528,680,255,70
1507,679,255,70
1502,680,255,70
1499,681,255,70
1482,677,280,77
1498,681,255,70
1503,682,255,70
1520,686,232,64
1537,682,255,70
1530,678,280,77
1539,672,309,85
1553,673,280,77
1564,672,280,77
1567,672,280,77
1572,675,280,77
1571,678,280,77
1570,678,280,77
1566,678,280,77
1556,680,255,70
1556,678,255,70
1530,672,255,70
1476,661,255,70
1423,655,255,70
1368,640,255,70
1320,637,255,70
1279,631,280,77
1262,631,255,70
1251,632,232,64
1217,630,255,70
1198,629,280,77
1191,645,255,70
1192,654,255,70
1192,668,255,70
1182,671,280,77
1191,682,255,70
1189,689,255,70
1182,692,255,70
1203,697,255,70
1192,696,255,70
1194,697,255,70
1196,693,255,70
